tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;mmposdiffrank; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;mmpospropall;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;halbehoehe;halbehoehetoken;sumhalbehoehe;halbehoehepropall
IT18660_Verga_Una-peccatrice.xml;387;39;213;524;37;280.5;38;455;246;1.054054054054054;0.7385496183206107;0.7593582887700535;0.014763014763014764;0.17696192696192697;0.09586247086247086;2574;213091;216;216;1614;0.627039627039627;172;man ;0.5009409125678702;0.00019461573914835673
IT18900_De-Roberto_Processi-verbali.xml;635;30;332.5;433;28;230.5;29;534;281;1.0714285714285714;1.466512702078522;1.4425162689804771;0.011755168220510741;0.21645723550871504;0.11410620186461289;2467;180189;166;166;1484;0.6015403323875153;168;cch ;0.5012625631975315;0.00020318709493211652
IT18910_Boito_Il-maestro-di-setticlavio.xml;408;60;234;499;58;278.5;59;453;256;1.0344827586206897;0.8176352705410822;0.8402154398563735;0.022014925373134327;0.16921641791044775;0.09561567164179105;2680;190185;184;183;1636;0.6104477611940299;176;ion ;0.5002444987775067;0.00018665839506623382
IT18751_Verga_Tigre-reale.xml;340;26;183;503;24;263.5;25;421;223;1.0833333333333333;0.6759443339960238;0.6944971537001897;0.009952229299363057;0.16779458598726116;0.0888734076433121;2512;179633;195;195;1515;0.6031050955414012;168;o m ;0.5006095761914573;0.00019928725166857376
IT19201_Tozzi_Tre-croci.xml;380;7;193.5;398;5;201.5;6;389;197;1.4;0.9547738693467337;0.9602977667493796;0.002512562814070352;0.16289782244556114;0.08270519262981575;2388;155668;205;205;1353;0.5665829145728644;156;da  ;0.5011755787958989;0.00020987252043379353
IT19121_Slataper_Il-mio-Carso.xml;358;23;190.5;393;21;207;22;375;198;1.0952380952380953;0.910941475826972;0.9202898550724637;0.008106116433308769;0.13835666912306557;0.07323139277818717;2714;154684;194;194;1505;0.5545320560058954;181;hi  ;0.5011507331074965;0.0001846539178730643
IT18891_Invernizio_La-trovatella-di-Milano.xml;400;1;200.5;436;-1;217.5;0;418;209;-1;0.9174311926605505;0.9218390804597701;0;0.18150238818931827;0.09075119409465914;2303;125036;149;149;1373;0.5961788970907512;175;att ;0.5009917143862566;0.00021753873833532634
IT19210_Aleramo_Il-Passaggio.xml;358;26;192;287;24;155.5;25;322;173;1.0833333333333333;1.2473867595818815;1.234726688102894;0.01016260162601626;0.13109756097560976;0.07063008130081301;2460;125177;179;178;1412;0.5739837398373984;180; lo ;0.5013301165549582;0.00020379273030689358
IT18711_Barbieri_Lucifero.xml;232;12;122;292;10;151;11;262;136;1.2;0.7945205479452054;0.8079470198675497;0.004484304932735426;0.10680799021606197;0.055646147574398695;2453;95928;158;158;1310;0.5340399510803098;178; te ;0.5001355183053959;0.0002038872883430069
IT19131_Dossi_La-Colonia-Felice-Utopia.xml;224;15;119.5;282;13;147.5;14;253;133;1.1538461538461537;0.7943262411347518;0.8101694915254237;0.005449591280653951;0.09848189957181783;0.05196574542623589;2569;90439;147;147;1310;0.5099260412611911;190;iss ;0.5001824434148985;0.00019469927731214422
IT19070_Capuana_Un-Vampiro.xml;230;10;120;195;8;101.5;9;212;110;1.25;1.1794871794871795;1.1822660098522169;0.004329004329004329;0.10221260221260221;0.053270803270803274;2079;56316;118;118;1001;0.48148148148148145;175;ano ;0.5001953263726119;0.0002405941925794189
