tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;tail-point; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;tail-pointvoksize;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;k-point;k-pointindex;sumhalbehoehe;k-pointvoksize;h-ponit;h-pointvoksize;h-point/k-point;tail-point/h-point
DEU017.xml;376;55;215.5;498;53;275.5;54;437;245;1.0377358490566038;0.7550200803212851;0.7822141560798548;0.014750068287353183;0.11936629336246928;0.06705818082491123;3661;208858;195;195;1681;0.45916416279704997;159;ige ;0.5002058815080105;0.04343075662387326;247;0.06746790494400437;1.5534591194968554;1.0061099796334012
DEU033.xml;538;27;282.5;558;25;291.5;26;548;287;1.08;0.96415770609319;0.9691252144082333;0.006687242798353909;0.14094650205761317;0.07381687242798354;3888;200280;164;164;1717;0.44161522633744854;167;ube ;0.500009986019573;0.04295267489711934;237;0.06095679012345679;1.4191616766467066;0.8257839721254355
DEU051.xml;428;55;241.5;360;53;206.5;54;394;224;1.0377358490566038;1.1888888888888889;1.1694915254237288;0.013180375884793752;0.09616792775201367;0.05467415181840371;4097;193821;199;198;1740;0.4247010007322431;173;ner ;0.5009106340386233;0.042226019038320725;236;0.05760312423724676;1.3641618497109826;1.0535714285714286
DEU063.xml;396;22;209;677;20;348.5;21;536;278;1.1;0.5849335302806499;0.599713055954089;0.005040806529044647;0.12878060489678347;0.06691070571291406;4166;192642;156;156;1788;0.42918867018722995;170;von ;0.5005606254087892;0.04080652904464714;229;0.05496879500720115;1.3470588235294119;0.8215246636771301
DEU088.xml;363;25;194;447;23;235;24;405;214;1.0869565217391304;0.8120805369127517;0.825531914893617;0.00606366851945427;0.1023244062657908;0.05419403739262254;3958;188972;208;208;1642;0.414855987872663;163;ube ;0.5012435704760494;0.041182415361293585;240;0.0606366851945427;1.4723926380368098;1.118881118881119
DEU080.xml;302;37;169.5;561;35;298;36;431;233;1.0571428571428572;0.5383244206773619;0.5687919463087249;0.010395610742131101;0.1246029454230436;0.06749927808258735;3463;172636;175;175;1546;0.4464337279815189;160;hin ;0.5010484487592393;0.04620271440947156;225;0.06497256713831938;1.40625;0.9625668449197861
DEU046.xml;366;34;200;503;32;267.5;33;434;233;1.0625;0.7276341948310139;0.7476635514018691;0.009171762090050028;0.1207615341856587;0.06496664813785437;3598;184742;180;180;1581;0.4394107837687604;151;de  ;0.5000162388628464;0.04196775986659255;236;0.06559199555308505;1.5629139072847682;1.0096256684491978
DEU008.xml;280;49;164.5;451;47;249;48;365;206;1.0425531914893618;0.6208425720620843;0.6606425702811245;0.013370473537604457;0.10181058495821727;0.05759052924791087;3590;150991;170;168;1498;0.41727019498607243;163;r i ;0.501069600174845;0.04540389972144847;212;0.05905292479108635;1.3006134969325154;1.0253929866989118
DEU012.xml;395;37;216;380;35;207.5;36;387;211;1.0571428571428572;1.0394736842105263;1.0409638554216867;0.009235505387378143;0.09940995382247306;0.0543227296049256;3898;148596;149;149;1616;0.4145715751667522;179;ieb ;0.5009017739373873;0.04592098512057465;200;0.051308363263211906;1.1173184357541899;0.9445100354191264
DEU090.xml;356;35;195.5;421;33;227;34;388;211;1.0606060606060606;0.8456057007125891;0.8612334801762115;0.009582863585118376;0.10949830890642616;0.05954058624577226;3548;126738;147;146;1404;0.39571589627959414;169;daß ;0.5005523205352775;0.04763246899661781;209;0.05890642615558061;1.2366863905325445;0.9893491124260355
